name,club,club_position,rating
cristiano_ronaldo,real_madrid,lw,94
manuel_neuer,fc_bayern,gk,92
de_gea,manchester_utd,gk,90
robert_lewandowski,fc_bayern,st,90
gareth_bale,real_madrid,rw,90
zlatan_ibrahimovic,manchester_utd,st,90
thibaut_courtois,chelsea,gk,89
eden_hazard,chelsea,lw,89
luka_modric,real_madrid,cm,89
gonzalo_higuain,juventus,st,89
sergio_ramos,real_madrid,cb,89
sergio_aguero,manchester_city,st,89
paul_pogba,manchester_utd,cm,88
kevin_de_bruyne,manchester_city,cm,88
toni_kroos,real_madrid,cm,88
mats_hummels,fc_bayern,cb,88
giorgio_chiellini,juventus,cb,88
philipp_lahm,fc_bayern,rb,88
pepe,real_madrid,cb,88
gianluigi_buffon,juventus,gk,88
james_rodriguez,real_madrid,cam,87
leonardo_bonucci,juventus,cb,87
arturo_vidal,fc_bayern,cdm,87
david_silva,manchester_city,cm,87
arjen_robben,fc_bayern,rm,87
paulo_dybala,juventus,cam,86
david_alaba,fc_bayern,lb,86
henrikh_mkhitaryan,manchester_utd,rw,86
thomas_muller,fc_bayern,cam,86
thiago,fc_bayern,cdm,86
diego_costa,chelsea,st,86
marcelo,real_madrid,lb,86
karim_benzema,real_madrid,st,86
keylor_navas,real_madrid,gk,85
miralem_pjanic,juventus,cdm,85
javi_martinez,fc_bayern,cb,85
dries_mertens,napoli,st,85
marek_hamsik,napoli,cm,85
carvajal,real_madrid,rb,84
lorenzo_insigne,napoli,lw,84
nicolas_otamendi,manchester_city,cb,84
nemanja_matic,chelsea,cm,84
alex_sandro,juventus,lb,84
douglas_costa,fc_bayern,lm,84
david_luiz,chelsea,cb,84
sami_khedira,juventus,cdm,84
yaya_toure,manchester_city,cdm,84
eric_bailly,manchester_utd,cb,83
n'golo_kante,chelsea,cm,83
raheem_sterling,manchester_city,rw,83
kalidou_koulibaly,napoli,cb,83
juan_cuadrado,juventus,rm,83
ander_herrera,manchester_utd,cm,83
chris_smalling,manchester_utd,cb,83
pedro,chelsea,rw,83
jose_callejon,napoli,rw,83
azpilicueta,chelsea,cb,83
mario_mandzukic,juventus,lm,83
gary_cahill,chelsea,cb,83
stephan_lichtsteiner,juventus,rb,83
jose_reina,napoli,gk,83
anthony_martial,manchester_utd,lw,82
antonio_valencia,manchester_utd,rb,82
raul_albiol,napoli,cb,82
michael_carrick,manchester_utd,cdm,82
daley_blind,manchester_utd,lb,81
bacary_sagna,manchester_city,rb,81
leroy_sane,manchester_city,lw,80
elseid_hysaj,napoli,rb,79
piotr_zielinski,napoli,cm,79
john_stones,manchester_city,cb,80
faouzi_ghoulam,napoli,lb,79
marcos_alonso,chelsea,lwb,79
gael_clichy,manchester_city,lb,79
victor_moses,chelsea,rwb,78
willy_caballero,manchester_city,gk,78
amadou_diawara,napoli,cm,76
